Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2026-08-24,K (May 2027),0.0000,21.7500,23.1000,0.0000,22.40,0,0,0,0
2026-08-25,K (May 2027),0.0000,22.0000,22.9000,0.0000,22.45,0.05,0,0,0
2026-08-26,K (May 2027),0.0000,21.9500,22.7000,0.0000,22.275,-0.175,0,0,0
2026-08-27,K (May 2027),22.1000,22.1000,22.1000,22.1000,22.10,-0.175,254,0,254
2026-08-28,K (May 2027),22.1500,22.1500,22.1000,22.1500,21.975,-0.125,1,0,255
2026-08-31,K (May 2027),22.0000,22.0000,21.8500,21.9000,21.80,-0.175,13,0,265
2026-09-01,K (May 2027),21.7500,21.7500,21.6000,21.7000,21.55,-0.25,5,0,268
2026-09-02,K (May 2027),21.5000,21.6400,21.3500,21.4500,21.375,-0.175,94,0,349
2026-09-03,K (May 2027),21.3500,21.4500,21.1700,21.2500,21.325,-0.050,259,0,577
2026-09-04,K (May 2027),21.1100,21.2000,21.1000,21.1500,21.15,-0.175,124,0,677
2026-09-08,K (May 2027),21.0500,21.3500,21.0500,21.3000,21.2962,0.1462,136,0,761
2026-09-09,K (May 2027),21.3500,21.4300,21.3000,21.4300,21.40,0.1038,57,0,804
2026-09-10,K (May 2027),21.4000,21.5500,21.3500,21.4300,21.375,-0.025,65,0,831
2026-09-11,K (May 2027),21.3500,21.3500,21.2500,21.3300,21.275,-0.100,128,0,959
2026-09-14,K (May 2027),21.2000,21.3000,21.1000,21.1500,21.075,-0.200,6,0,965
2026-09-15,K (May 2027),21.0500,21.1100,21.0500,21.1000,21.05,-0.025,53,0,1013
2026-09-16,K (May 2027),21.0000,21.1000,21.0000,21.0500,21.0093,-0.0407,22,0,1028
2026-09-17,K (May 2027),20.9000,21.0000,20.8400,20.8600,20.8534,-0.1559,78,0,1090
