Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2026-07-27,J (Apr 2027),0.0000,22.5500,22.7500,0.0000,22.775,0,0,0,0
2026-07-28,J (Apr 2027),22.6500,22.6500,22.5900,22.6400,22.75,-0.025,32,0,23
2026-07-29,J (Apr 2027),22.8000,23.0500,22.5500,23.0500,22.65,-0.10,75,0,75
2026-07-30,J (Apr 2027),22.9500,22.9500,22.7000,22.7000,22.80,0.15,8,0,80
2026-07-31,J (Apr 2027),22.7000,22.7500,22.6400,22.6500,22.65,-0.15,24,0,97
2026-08-03,J (Apr 2027),22.3500,22.6000,22.2900,22.5800,22.575,-0.075,65,0,142
2026-08-04,J (Apr 2027),22.5500,22.5800,22.4200,22.4500,22.45,-0.125,48,0,176
2026-08-05,J (Apr 2027),22.3600,22.3600,22.3600,22.3600,22.35,-0.10,1,0,177
2026-08-06,J (Apr 2027),22.3600,22.4400,22.2500,22.3000,22.35,0.00,9,0,185
2026-08-07,J (Apr 2027),22.5500,22.5500,22.5000,22.5500,22.525,0.175,1,0,186
2026-08-10,J (Apr 2027),22.4500,22.6000,22.4500,22.5800,22.60,0.075,51,0,220
2026-08-11,J (Apr 2027),22.6000,22.6000,22.5000,22.5000,22.475,-0.125,7,0,224
2026-08-12,J (Apr 2027),22.5800,22.6500,22.4500,22.6000,22.425,-0.050,8,0,229
2026-08-13,J (Apr 2027),22.4600,22.5000,22.4000,22.5000,22.50,0.075,184,0,330
2026-08-14,J (Apr 2027),22.5000,22.5000,22.4000,22.5000,22.475,-0.025,85,0,410
2026-08-17,J (Apr 2027),22.5000,22.6000,22.4800,22.6000,22.575,0.100,272,0,603
2026-08-18,J (Apr 2027),22.6500,22.6500,22.5500,22.5500,22.55,-0.025,161,0,756
2026-08-19,J (Apr 2027),22.5000,22.5000,22.3900,22.4500,22.4538,-0.0962,71,0,801
2026-08-20,J (Apr 2027),22.4000,22.5000,22.4000,22.4500,22.481,0.0272,15,0,798
2026-08-21,J (Apr 2027),22.4500,22.4500,22.3500,22.3500,22.325,-0.156,21,0,797
2026-08-24,J (Apr 2027),22.2500,22.3000,22.1800,22.2000,22.1832,-0.1418,31,0,824
2026-08-25,J (Apr 2027),22.1300,22.1500,22.0500,22.0500,22.0392,-0.1440,23,0,833
2026-08-26,J (Apr 2027),22.0300,22.0600,21.9000,21.9700,21.90,-0.1392,102,0,879
2026-08-27,J (Apr 2027),21.8500,21.8500,21.6700,21.7300,21.70,-0.20,131,0,945
2026-08-28,J (Apr 2027),21.7000,21.8000,21.6000,21.7100,21.70,0.00,213,0,1018
2026-08-31,J (Apr 2027),21.8000,21.8000,21.5000,21.5000,21.525,-0.175,84,0,1031
2026-09-01,J (Apr 2027),21.5000,21.5500,21.3000,21.4500,21.4393,-0.0857,337,0,1204
2026-09-02,J (Apr 2027),21.4500,21.4500,21.2000,21.3000,21.25,-0.1893,392,0,1264
2026-09-03,J (Apr 2027),21.3000,21.3500,21.1500,21.1900,21.15,-0.10,91,0,1265
2026-09-04,J (Apr 2027),21.0400,21.1000,20.9000,21.0000,21.0267,-0.1233,276,0,1337
2026-09-08,J (Apr 2027),20.9000,21.2400,20.8500,21.2200,21.184,0.1573,310,0,1369
2026-09-09,J (Apr 2027),21.2500,21.3100,21.1500,21.2500,21.25,0.066,83,0,1394
2026-09-10,J (Apr 2027),21.2000,21.3800,21.1500,21.2600,21.2348,-0.0152,357,0,1593
2026-09-11,J (Apr 2027),21.2500,21.2500,21.0000,21.0000,21.05,-0.1848,182,0,1690
2026-09-14,J (Apr 2027),21.3000,21.4000,20.9500,20.9700,20.9738,-0.0762,301,0,1908
2026-09-15,J (Apr 2027),20.9300,21.0500,20.8500,20.8700,20.875,-0.0988,321,0,2009
2026-09-16,J (Apr 2027),20.9000,20.9500,20.7500,20.8600,20.875,0.000,695,0,2299
2026-09-17,J (Apr 2027),20.8300,20.9100,20.6500,20.6700,20.675,-0.200,346,0,2389
