scenario,pnl_vol_fixed,pnl_vol_shocked,vol_of_vol_effect
-40%,-2858.6,-2809.62,48.98
-35%,-2235.56,-2201.13,34.43
-30%,-1629.7,-1626.65,3.05
-25%,-1039.3,-1092.8,-53.5
-20%,-469.65,-610.27,-140.61
-15%,44.48,-197.18,-241.67
-10%,386.46,110.43,-276.02
-5%,355.88,225.31,-130.57
+5%,-121.0,-109.7,11.3
+10%,-238.01,-201.05,36.96
+15%,-374.66,-334.83,39.83
+20%,-547.4,-531.22,16.18
+25%,-628.55,-622.8,5.75
+30%,-627.87,-622.9,4.98
+35%,-628.48,-622.91,5.58
+40%,-628.69,-622.91,5.78
