scenario,pnl_vol_fixed,pnl_vol_shocked,vol_of_vol_effect
-40%,-2804.23,-2755.99,48.24
-35%,-2202.53,-2169.31,33.22
-30%,-1613.4,-1611.61,1.8
-25%,-1035.49,-1089.54,-54.05
-20%,-474.11,-613.8,-139.68
-15%,37.0,-202.56,-239.56
-10%,383.04,107.65,-275.4
-5%,359.02,227.1,-131.92
+5%,-120.6,-109.34,11.25
+10%,-238.14,-201.47,36.67
+15%,-375.91,-336.64,39.28
+20%,-549.99,-534.33,15.65
+25%,-628.49,-622.82,5.67
+30%,-628.01,-622.9,5.11
+35%,-628.55,-622.91,5.64
+40%,-628.69,-622.91,5.78
