scenario,spx_ret,idx,expiry,strike,type,qty,tenor,fwd,fwd_shocked,vol,vol_source,vol_shocked,base_price,price_vol_fixed,price_vol_shocked,pnl_vol_fixed,pnl_vol_shocked
-40%,-0.4,0,2026-10-21,20,C,100,33,17.84074655844156,90.26370051528625,0.93651,ATM curve (fallback),1.8816419329213643,1.205154533527861,70.01005518702677,70.03769297657522,6880.490065349891,6883.253844304735
-40%,-0.4,1,2026-10-21,30,C,-200,33,17.84074655844156,90.26370051528625,0.93651,ATM curve (fallback),1.8816419329213643,0.08191882964376981,60.046306473971256,60.324144115277626,-11992.877528865498,-12048.445057126772
-40%,-0.4,2,2026-11-18,25,C,100,61,18.696715095238087,78.27213735116743,0.7764633333333333,ATM curve (fallback),1.5744888892835471,0.6605384455215606,52.91775366741673,53.33240229198235,5225.721522189518,5267.186384646079
-40%,-0.4,3,2026-11-18,16,P,-100,61,18.696715095238087,78.27213735116743,0.7764633333333333,ATM curve (fallback),1.5744888892835471,1.0874645563163843,5.847472902051607e-07,0.048167313380737625,108.74639715690941,103.92972429356466
-40%,-0.4,4,2026-12-16,22,C,-100,89,19.131337761904764,68.13832716318207,0.7278366666666667,ATM curve (fallback),1.4016524227179799,1.6980428622111705,45.69358492680433,46.235656862463486,-4399.5542064593155,-4453.7614000252315
-40%,-0.4,5,2027-01-20,30,C,50,124,19.86506819047619,58.257590200300555,0.6773666666666667,ATM curve (fallback),1.2227434112771856,0.7187344398087057,28.18351809564293,30.55564279332098,1373.2391827917113,1491.8454176756138
-35%,-0.35,0,2026-10-21,20,C,100,33,17.84074655844156,80.1979465691926,0.93651,ATM curve (fallback),1.8710004215808467,1.205154533527861,59.980638441451845,60.028611788675406,5877.548390792398,5882.345725514754
-35%,-0.35,1,2026-10-21,30,C,-200,33,17.84074655844156,80.1979465691926,0.93651,ATM curve (fallback),1.8710004215808467,0.08191882964376981,50.017560479826344,50.45064002527417,-9987.128330036516,-10073.74423912608
-35%,-0.35,2,2026-11-18,25,C,100,61,18.696715095238087,69.9920064133967,0.7764633333333333,ATM curve (fallback),1.5655036908071631,0.6605384455215606,44.69429705900689,45.27539312206389,4403.375861348533,4461.485467654233
-35%,-0.35,3,2026-11-18,16,P,-100,61,18.696715095238087,69.9920064133967,0.7764633333333333,ATM curve (fallback),1.5655036908071631,1.0874645563163843,3.4508255341819322e-06,0.07341715099432454,108.746110549085,101.40474053220598
-35%,-0.35,4,2026-12-16,22,C,-100,89,19.131337761904764,61.32705711686472,0.7278366666666667,ATM curve (fallback),1.3940657379815158,1.6980428622111705,38.953567286756474,39.665941774101256,-3725.5524424545306,-3796.789891189009
-35%,-0.35,5,2027-01-20,30,C,50,124,19.86506819047619,52.92157918711882,0.6773666666666667,ATM curve (fallback),1.216602858185631,0.7187344398087057,23.12841992775963,25.838537222524625,1120.4842743975462,1255.990139135796
-30%,-0.3,0,2026-10-21,20,C,100,33,17.84074655844156,70.43967360303321,0.93651,ATM curve (fallback),1.8532285829489326,1.205154533527861,50.257599419276175,50.340808696427516,4905.244488574832,4913.5654162899655
