scenario,spx_ret,idx,expiry,strike,type,qty,tenor,fwd,fwd_shocked,vol,vol_source,vol_shocked,base_price,price_vol_fixed,price_vol_shocked,pnl_vol_fixed,pnl_vol_shocked
-25%,-0.25,2,2026-12-16,100,C,-50,89,19.131337761904764,48.75834618902374,1.2929690937260165,from premium,1.9253683039242457,0.03999999868452922,2.787434538235895,8.003592208590979,-137.3717269775683,-398.17961049532244
-25%,-0.25,3,2026-11-18,16,P,-100,61,18.696715095238087,54.422723099353135,0.7323679843237623,from premium,1.4813423541995623,0.9799999931406893,4.171038093089269e-05,0.13720284447372832,97.99582827597584,84.2797148666961
-20%,-0.2,0,2026-10-21,20,C,100,33,17.84074655844156,51.51510679561063,0.9582562711862846,from premium,1.7957282723160246,1.2499999939728312,31.40257637680111,31.671506262864412,3015.257638282828,3042.150626889158
-20%,-0.2,1,2026-10-21,30,C,-200,33,17.84074655844156,51.51510679561063,1.020199490354396,from premium,1.857671491484136,0.12999999952276503,21.624144368517232,23.327504858409082,-4298.828873798893,-4639.500971777263
-20%,-0.2,2,2026-12-16,100,C,-50,89,19.131337761904764,42.2896003048592,1.2929690937260165,from premium,1.8900305302905478,0.03999999868452922,1.6299375825643925,5.419754740733895,-79.49687919399317,-268.98773710246826
-20%,-0.2,3,2026-11-18,16,P,-100,61,18.696715095238087,46.62232476339729,0.7323679843237623,from premium,1.4394904886164026,0.9799999931406893,0.0003521355039246307,0.211020545742151,97.96478576367646,76.89794473985383
-15%,-0.15,0,2026-10-21,20,C,100,33,17.84074655844156,42.52167873361337,0.9582562711862846,from premium,1.7129493995350424,1.2499999939728312,22.451854948610578,22.90458632822124,2120.1854954637747,2165.4586334248406
-15%,-0.15,1,2026-10-21,30,C,-200,33,17.84074655844156,42.52167873361337,1.020199490354396,from premium,1.774892618703154,0.12999999952276503,13.166837231998098,15.352678259486012,-2607.367446495067,-3044.5356519926495
-15%,-0.15,2,2026-12-16,100,C,-50,89,19.131337761904764,36.104711660975774,1.2929690937260165,from premium,1.831014739155879,0.03999999868452922,0.8593090692116994,3.2731599915716143,-40.96545352635851,-161.65799964435425
-15%,-0.15,3,2026-11-18,16,P,-100,61,18.696715095238087,39.16421836229054,0.7323679843237623,from premium,1.3695958488619426,0.9799999931406893,0.002919564430709814,0.3152582719603475,97.70804287099794,66.47417211803418
-10%,-0.1,0,2026-10-21,20,C,100,33,17.84074655844156,33.92289435001362,0.9582562711862846,from premium,1.5747046782618497,1.2499999939728312,13.969874496508986,14.674810931333814,1271.9874502536154,1342.4810937360983
-10%,-0.1,1,2026-10-21,30,C,-200,33,17.84074655844156,33.92289435001362,1.020199490354396,from premium,1.636647897429961,0.12999999952276503,6.140961787032882,8.331894286538896,-1202.1923575020235,-1640.3788574032262
-10%,-0.1,2,2026-12-16,100,C,-50,89,19.131337761904764,30.191224221179944,1.2929690937260165,from premium,1.7324555135704394,0.03999999868452922,0.3931124438902882,1.6003558063222125,-17.655622260287952,-78.01779038188417
-10%,-0.1,3,2026-11-18,16,P,-100,61,18.696715095238087,32.03338366711428,0.7323679843237623,from premium,1.2528684199090145,0.9799999931406893,0.023128437598182974,0.4550615259010715,95.68715555425064,52.49384672396178
-5%,-0.05,0,2026-10-21,20,C,100,33,17.84074655844156,25.701436151212118,0.9582562711862846,from premium,1.343829307314621,1.2499999939728312,6.366359658315756,7.152858617742817,511.63596643429247,590.2858623769986
-5%,-0.05,1,2026-10-21,30,C,-200,33,17.84074655844156,25.701436151212118,1.020199490354396,from premium,1.4057725264827323,0.12999999952276503,1.6579183199506171,2.8055537282449317,-305.58366408557043,-535.1107457444333
