,T30,T60,T90,T120
base,17.75,18.68,19.15,19.8
-40%,93.22,80.43,69.68,61.15
-35%,82.24,71.45,62.33,55.13
-30%,71.74,62.86,55.3,49.38
-25%,61.7,54.65,48.58,43.88
-20%,52.1,46.79,42.15,38.63
-15%,42.93,39.29,36.01,33.6
-10%,34.16,32.11,30.13,28.79
-5%,25.77,25.24,24.52,24.2
+5%,14.98,16.49,17.41,18.42
+10%,12.21,14.29,15.66,17.04
+15%,9.44,12.09,13.92,15.66
+20%,9.0,9.9,12.18,14.28
+25%,9.0,9.0,10.44,12.9
+30%,9.0,9.0,9.0,11.52
+35%,9.0,9.0,9.0,10.14
+40%,9.0,9.0,9.0,9.0
